Gene	109.NOR_1990	120.RUS_1860	27.ESP_1975	30.ESP_1983b	33.ESP_1985b	34.ESP_1985c_S36	64.GBR_1933b_S36	75.LTU_1894_S30	76.LTU_2009_S19	86.NOR_1911_S7	HB0737	HB0766	HB0808	HB0814	HB0828	HB0840	HB0841	HB0863	p12.A11	p12.E2	p12.F2	p12.G7	p13.C1	p13.C7	p13.D10	p13.F3	p1.G2	p20.D4	p20.F10	p20.G9	p21.A8	p21.E3	p21.F1	p21.F9	p22.A8	p22.B5	p22.C1	p22.D1	p22.D4	p23.A3	p23.B2	p23.B8	p24.B5	p24.H2	p25.A12	p25.B2	p25.C11	p25.C2	p25.D2	p26.B7	p26.D6	p26.E7	p27.D6	p27.F2	p3.A3	p3.F12	p3.F8	p3.G9	p4.A6	p4.D2	p4.E5	p4.E6	p5.C1	p5.C3	p5.D5	p5.H11	p6.A10	p6.B9	p7.G11	p8.B3	p8.B9	p8.C7	p8.E4	p8.H7	p9.C4	PL0001	PL0026	PL0027	PL0042	PL0046	PL0051	PL0053	PL0059	PL0065	PL0066	PL0068	PL0073	PL0080	PL0087	PL0102	PL0105	PL0108	PL0127	PL0131	PL0137	PL0139	PL0185	PL0203	PL0210	PL0220	PL0222	PL0224	PL0230	PL0235	PL0240	PL0258
rmlC_1	1	1	1	0	1	1	0	0	1	0	1	1	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1
WfgD	1	0	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	1	1	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	1
tagH_1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1
tagG_1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	1	0	0	0	1	1	0	1	1	0	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1
spsA	1	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1
espE2	1	1	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1
