IsolateType	TotalN	1245_Frequency	1803_Frequency	1830_Frequency	1383_Frequency	1245_Percent	1803_Percent	1830_Percent	1383_Percent
Historical	38	11	10	7	10	28.9	26.3	18.4	26.3
Modern	1312	535	563	66	148	40.8	42.9	5	11.3
