pos	value	group	Pos	total	base	proportion	pos_from_5end	sample
28	2268	C.T	28	498436	C	0.00455023312922823	28	PL0053_mapped_At_q20.sorted.mapDamage
29	2327	C.T	29	498293	C	0.00466994318603713	29	PL0053_mapped_At_q20.sorted.mapDamage
30	2229	C.T	30	497292	C	0.00448227600685312	30	PL0053_mapped_At_q20.sorted.mapDamage
31	2203	C.T	31	489304	C	0.00450231349018197	31	PL0053_mapped_At_q20.sorted.mapDamage
32	2240	C.T	32	479981	C	0.0046668513962011	32	PL0053_mapped_At_q20.sorted.mapDamage
33	2232	C.T	33	472357	C	0.00472523959632227	33	PL0053_mapped_At_q20.sorted.mapDamage
34	2175	C.T	34	463552	C	0.00469203023609002	34	PL0053_mapped_At_q20.sorted.mapDamage
35	2226	C.T	35	458619	C	0.00485370209258666	35	PL0053_mapped_At_q20.sorted.mapDamage
36	2076	C.T	36	452349	C	0.00458937678650776	36	PL0053_mapped_At_q20.sorted.mapDamage
37	2182	C.T	37	448051	C	0.00486998131909091	37	PL0053_mapped_At_q20.sorted.mapDamage
38	2081	C.T	38	442209	C	0.00470591959910359	38	PL0053_mapped_At_q20.sorted.mapDamage
39	2067	C.T	39	434651	C	0.0047555395018072	39	PL0053_mapped_At_q20.sorted.mapDamage
40	2020	C.T	40	424757	C	0.00475566029518054	40	PL0053_mapped_At_q20.sorted.mapDamage
41	1911	C.T	41	416589	C	0.00458725506434399	41	PL0053_mapped_At_q20.sorted.mapDamage
42	1895	C.T	42	406030	C	0.00466714282195897	42	PL0053_mapped_At_q20.sorted.mapDamage
43	1948	C.T	43	392382	C	0.00496454985193001	43	PL0053_mapped_At_q20.sorted.mapDamage
44	1843	C.T	44	381225	C	0.00483441537149977	44	PL0053_mapped_At_q20.sorted.mapDamage
45	1813	C.T	45	370926	C	0.00488776737138944	45	PL0053_mapped_At_q20.sorted.mapDamage
46	1689	C.T	46	360737	C	0.00468208140556694	46	PL0053_mapped_At_q20.sorted.mapDamage
47	1697	C.T	47	353184	C	0.00480486092235209	47	PL0053_mapped_At_q20.sorted.mapDamage
48	1654	C.T	48	346532	C	0.00477300797617536	48	PL0053_mapped_At_q20.sorted.mapDamage
49	1611	C.T	49	337183	C	0.00477782094589585	49	PL0053_mapped_At_q20.sorted.mapDamage
50	1551	C.T	50	329517	C	0.0047068891741549	50	PL0053_mapped_At_q20.sorted.mapDamage
51	1498	C.T	51	321028	C	0.0046662596409036	51	PL0053_mapped_At_q20.sorted.mapDamage
52	1555	C.T	52	307724	C	0.00505322951735971	52	PL0053_mapped_At_q20.sorted.mapDamage
53	1516	C.T	53	295904	C	0.00512328322699254	53	PL0053_mapped_At_q20.sorted.mapDamage
54	1353	C.T	54	286271	C	0.00472629082233268	54	PL0053_mapped_At_q20.sorted.mapDamage
55	1315	C.T	55	276859	C	0.00474971014126324	55	PL0053_mapped_At_q20.sorted.mapDamage
56	1339	C.T	56	267688	C	0.00500209198768716	56	PL0053_mapped_At_q20.sorted.mapDamage
57	1253	C.T	57	261741	C	0.00478717510821767	57	PL0053_mapped_At_q20.sorted.mapDamage
58	1150	C.T	58	254550	C	0.00451777646827735	58	PL0053_mapped_At_q20.sorted.mapDamage
59	1214	C.T	59	246297	C	0.00492900847350962	59	PL0053_mapped_At_q20.sorted.mapDamage
60	1210	C.T	60	238994	C	0.00506288860808221	60	PL0053_mapped_At_q20.sorted.mapDamage
61	1079	C.T	61	230817	C	0.00467469900397284	61	PL0053_mapped_At_q20.sorted.mapDamage
62	1085	C.T	62	223767	C	0.00484879361121166	62	PL0053_mapped_At_q20.sorted.mapDamage
63	1011	C.T	63	214658	C	0.00470981747710311	63	PL0053_mapped_At_q20.sorted.mapDamage
64	1041	C.T	64	206278	C	0.0050465876147723	64	PL0053_mapped_At_q20.sorted.mapDamage
