Sample	Mean_total_depth	SD_total_depth	Mean_minus_05SD	relative_threshold
PL0131	53.420819	24.960661	40.940488	0.766377
PL0139	1.538545	1.463996	0.806546	0.524227
PL0185	2.740722	2.279413	1.601015	0.584158
PL0203	1.714241	1.901234	0.763624	0.445459
PL0210	10.452549	6.052855	7.426121	0.710460
PL0220	18.595013	9.379270	13.905378	0.747801
PL0222	1.244769	1.316608	0.586465	0.471144
PL0224	7.081437	4.077002	5.042936	0.712135
PL0230	2.036857	1.722282	1.175716	0.577221
PL0235	8.636209	4.882763	6.194827	0.717309
PL0105	1.194752	1.246057	0.571724	0.478529
PL0240	7.458749	4.934529	4.991484	0.669212
PL0258	2.804795	2.844761	1.382414	0.492875
PL0027	1.283954	1.301047	0.633431	0.493344
PL0042	76.644656	31.298177	60.995568	0.795823
PL0046	19.675717	10.745403	14.303016	0.726937
PL0051	18.582653	9.522093	13.821606	0.743791
PL0053	11.850861	5.905307	8.898208	0.750849
PL0065	1.371679	1.381288	0.681035	0.496497
PL0066	1.656742	2.317507	0.497988	0.300583
PL0068	12.722949	7.170063	9.137917	0.718223
PL0087	1.154849	1.384525	0.462587	0.400560
PL0080	29.927671	14.871753	22.491794	0.751538
PL0127	8.722349	5.007969	6.218364	0.712923
PL0137	16.810822	8.498429	12.561607	0.747233
109.NOR_1990	27.154045	12.617906	20.845092	0.767661
120.RUS_1860	5.682539	3.960301	3.702388	0.651538
27.ESP_1975	1.730008	1.527012	0.966502	0.558669
30.ESP_1983b	1.763579	1.710561	0.908298	0.515031
33.ESP_1985b	31.946163	14.419809	24.736258	0.774311
34.ESP_1985c_S36	41.636843	19.388946	31.942370	0.767166
64.GBR_1933b_S36	5.576254	3.846132	3.653189	0.655133
HB0808	1.068086	1.176914	0.479629	0.449054
75.LTU_1894_S30	6.516488	4.085079	4.473949	0.686558
76.LTU_2009_S19	66.351783	30.847055	50.928256	0.767549
86.NOR_1911_S7	1.370871	1.366577	0.687582	0.501566
HB0737	9.594975	5.809697	6.690127	0.697253
HB0766	8.275881	5.496825	5.527468	0.667901
HB0814	9.066592	5.007662	6.562761	0.723840
HB0828	1.790964	2.135959	0.722984	0.403684
HB0840	1.808816	1.692674	0.962479	0.532104
HB0841	1.620968	1.580948	0.830495	0.512345
HB0863	1.556983	3.110917	0.001524	0.000979
PL0001	4.624393	2.726766	3.261010	0.705176
PL0026	1.601510	1.502329	0.850345	0.530965
PL0059	138.288551	52.216899	112.180101	0.811203
PL0073	2.858960	2.204317	1.756802	0.614490
PL0102	31.354654	12.311079	25.199115	0.803680
PL0108	5.071027	11.427241	0.000000	0.000000
