Gene	109.NOR_1990	120.RUS_1860	27.ESP_1975	30.ESP_1983b	33.ESP_1985b	34.ESP_1985c_S36	64.GBR_1933b_S36	75.LTU_1894_S30	76.LTU_2009_S19	86.NOR_1911_S7	HB0737	HB0766	HB0808	HB0814	HB0828	HB0840	HB0841	HB0863	p12.A11	p12.E2	p12.F2	p12.G7	p13.C1	p13.C7	p13.D10	p13.F3	p1.G2	p20.D4	p20.F10	p20.G9	p21.A8	p21.E3	p21.F1	p21.F9	p22.A8	p22.B5	p22.C1	p22.D1	p22.D4	p23.A3	p23.B2	p23.B8	p24.B5	p24.H2	p25.A12	p25.B2	p25.C11	p25.C2	p25.D2	p26.B7	p26.D6	p26.E7	p27.D6	p27.F2	p3.A3	p3.F12	p3.F8	p3.G9	p4.A6	p4.D2	p4.E5	p4.E6	p5.C1	p5.C3	p5.D5	p5.H11	p6.A10	p6.B9	p7.G11	p8.B3	p8.B9	p8.C7	p8.E4	p8.H7	p9.C4	PL0001	PL0026	PL0027	PL0042	PL0046	PL0051	PL0053	PL0059	PL0065	PL0066	PL0068	PL0073	PL0080	PL0087	PL0102	PL0105	PL0108	PL0127	PL0131	PL0137	PL0139	PL0185	PL0203	PL0210	PL0220	PL0222	PL0224	PL0230	PL0235	PL0240	PL0258
WfgD	1.05306	0.770314	1.04111	0.416111	1.22203	1.06312	0	0.353403	1.05106	1.51603	1.37607	1.5692	0.354737	0.458	0.472896	0.157819	0.213313	0.720781	1.11678	1.76178	1.36266	0.200089	1.77381	1.4843	0.17923	0.0039155	0.193833	1.49243	1.3952	1.19246	1.47763	1.86174	1.12941	1.36412	1.79404	2.17893	0.237657	1.78631	1.36478	0.000707152	0.866006	1.49765	0.281944	0	0.914281	1.15065	1.71213	1.46076	1.73892	1.3606	1.57868	1.56926	1.34459	0.208944	1.39039	1.40769	0.97702	0.178358	1.11131	0.217836	1.86563	1.64314	1.64475	1.64065	1.24258	0	1.64085	1.97026	0.0120484	1.28752	1.35045	1.69607	1.04428	0.0142302	0.18965	1.31575	1.16413	0.940435	0.138862	1.06955	0.244139	0.844856	1.16097	0.625873	1.3889	0.967966	0.00775703	0.155219	1.57789	0.236293	0.703358	0.208563	0.0787459	1.13592	1.4159	1.23482	0.272729	0.257594	0.0320895	0.218849	0.317549	0.782376	0.986768	0.952227	0	0.854223
rmlC_1	1.20094	1.33603	0.82928	0.1417	1.28037	1.25992	0	0.260798	1.29881	0.996859	1.83132	1.56175	0	0.37178	1.10179	0.206294	0.59914	0.750449	1.28263	1.47424	1.27046	0	1.6707	1.64134	0.00691938	0.00380149	0.0184064	1.38767	1.37595	1.41577	1.20634	1.50735	1.56563	1.28682	1.63093	1.79038	0.0153765	1.50993	1.1047	0	0	1.39139	0	0	0	1.04948	1.0634	1.15642	1.09168	1.58922	0.995234	1.43147	1.77179	0	1.34156	1.187	1.71047	0	1.27968	0	1.75995	1.76792	1.47211	1.74118	1.79724	0	1.42293	1.71682	0	1.16948	1.47458	1.27214	0.0159429	0	0	1.30514	0.73733	1.63343	0	1.42405	0.0229001	0.848167	1.25567	0.550681	0.50514	1.01518	0	0.159568	1.28036	0.0885288	1.14623	0.104279	0.112673	1.3245	1.32303	0.929306	0	0.367898	0.0104027	0	0.203447	1.00154	0.633524	1.18011	0	0.831742
tagG_1	1.16771	1.18696	1.26541	0.074752	1.39514	0.961038	0	0.154179	1.3918	1.31737	1.47275	1.35561	0.220416	0.244891	0.409934	0.271392	0.307456	1.01321	0.584106	1.65701	1.06248	0.00160489	1.21398	1.44517	0.00591928	0.00460137	0.018346	1.29059	0.648174	0.650098	0.543588	1.19393	1.51769	0.641984	1.11235	1.61441	0	1.7166	2.24145	0	0	1.6495	0	0	0	1.62183	1.88374	1.4907	1.4213	1.7014	1.83851	1.85711	1.06807	0	0.931825	1.62144	2.00052	0	1.21624	0	1.56864	1.2406	1.48022	1.11813	1.59786	0	1.50249	2.28438	0.00238223	1.47021	1.88462	1.56101	0.00569765	0	0.00983764	1.12403	1.07302	1.08472	0.000316542	0.955227	0.0171927	0.799732	1.19586	1.0351	0.854831	1.01685	0	0.193876	0.977384	0.0894247	1.222	0.169322	0.0794664	1.11791	1.21761	0.735681	0.128956	0.0667508	0.0132544	0	0.202705	0.97793	0.554218	0.848333	0	0.950064
tagH_1	1.15729	1.5902	0.948652	0.0335145	1.2425	1.20839	0	0.121892	1.28245	1.11641	1.44787	1.57995	0	0.23038	0.638078	0.173685	0.360753	0.72797	1.40631	1.66484	1.0305	0	1.76694	1.78038	0.00636573	0.00441941	0.0266049	1.37081	1.47819	1.36978	1.4675	1.67236	1.5672	1.40334	1.88492	1.73522	0	1.11402	1.85818	0	0	1.37402	0	0	0	1.18383	1.18902	1.23314	1.09971	1.74344	1.52035	1.58041	1.65889	0	1.25503	1.22166	1.82638	0.00594819	0.884986	0	1.9111	1.69825	1.00418	1.69802	1.55956	0	1.56223	1.87225	0.00488866	1.06795	1.72609	1.8004	0.0103902	0.00459189	0.0133625	0.980565	1.1407	1.19628	0	1.42848	0.0118701	0.731299	1.20005	1.1275	0.832729	1.12952	0.0858198	0.157412	1.22697	0.0791498	1.00943	0.189305	0.0583263	1.23506	1.21641	1.41261	0.0888551	0.20896	0.0224486	0	0.318282	0.974155	0.565842	0.938268	0.00395178	0.936726
epsE_2	0.398819	0.447568	0.23336	0.0644692	0.545397	0.454312	0.00832398	0.0753242	0.419005	0.499534	0.609256	0.555448	0.0146926	0.0355588	0.211903	0.130837	0.209274	0.00291753	0.434832	1.53359	0.0011269	0.00967975	0.58071	0.542479	0.00180711	0.00177628	0.00159745	1.20083	0.510338	0.527663	0.467483	0.628069	0.550439	0.502773	0.614546	0.607556	0	0	0.577719	5.38338e-05	0	0.56914	0.00478984	0.00431633	0.00924174	1.10624	0	1.16069	1.16357	1.23521	0.469745	0.533808	0.504542	0	1.29951	1.25515	0.63682	0	1.41945	0	0.548441	0.582493	0.00236345	0.57164	0.541264	0.00312255	1.37838	0.623445	0	1.14451	0.502724	0.511401	0.00187903	0.00359599	0.00312667	0.00865753	0.460673	0.440464	0.000149319	0.474247	0.00560674	0.00338547	0.508623	0.854345	0.149587	0.517669	0.0135121	0.0113131	0.50662	0.0124907	0.517041	0.0760572	0.0051267	0.492073	0.550921	0.430124	0.033372	0.0929551	0.0130033	0.00136778	0.136732	0.386626	0.246294	0.379707	0.000503981	0.373468
tagG_2	1.22388	1.03132	1.33167	1.50757	1.17499	1.30206	1.63675	1.05239	1.2393	0.550997	1.5477	1.04305	1.07307	1.28973	1.2908	0.759313	1.57388	0.719034	1.55596	1.22902	1.38048	0.830604	1.27461	1.45016	1.30419	1.55343	1.18485	0.907844	1.23734	1.33456	1.33884	1.23768	1.42304	1.28789	1.3103	1.17527	1.53443	1.18066	1.61359	1.36286	1.38743	1.5204	1.30747	1.42685	1.72552	1.72613	1.58882	1.13796	1.41883	1.43173	1.06601	1.37858	1.72087	1.49925	1.07407	1.21032	1.14035	1.28053	1.01704	1.22968	1.29631	1.18503	1.35024	1.46697	1.297	1.86262	1.0005	1.34535	1.38713	1.01637	1.25927	1.25009	1.34503	1.38211	1.15278	1.19383	1.10559	0.912196	1.27875	1.4006	1.29626	1.15573	1.22843	1.708	0.683186	1.23873	1.81667	1.36466	1.5605	1.29236	0.699249	0.372293	1.23988	1.26408	1.42913	1.41313	1.09105	1.54617	1.4343	1.39942	0.953274	1.24105	1.54215	1.27289	1.28727	1.05235
tagH_2	1.0566	1.18191	1.31169	1.5128	1.07535	1.23623	1.4701	1.326	1.16861	1.4808	1.21669	1.03899	1.36083	1.17776	0.779882	0.813799	1.3112	1.02084	0.940383	1.13013	1.23352	0.834625	1.04398	1.15238	1.17235	1.1274	0.857649	0.76162	0.91685	0.856555	0.778205	0.7831	1.01521	0.760952	0.86392	0.862807	0.759335	1.47102	0.975174	1.00013	1.02661	0.892499	0.868007	0.993476	1.04079	0.701685	0.844176	0.879746	0.671335	1.02354	0.719159	0.892087	1.04775	1.13855	0.999933	0.90515	1.2584	0.99556	0.866097	0.925024	1.00382	0.81362	1.07991	0.966336	0.894313	1.06927	0.790577	0.929655	1.08203	0.967208	1.0015	1.1335	1.08406	0.959703	0.975928	1.2364	1.18653	1.05184	1.2425	1.0593	1.17782	1.18308	1.15676	1.12718	1.33994	1.32703	0.981811	1.09702	1.47056	1.25995	0.94685	0.353072	1.00043	1.06547	1.26182	1.14093	1.22454	1.34291	1.28302	1.29439	1.21357	1.21778	0.982816	1.21684	1.26929	1.00405
spsA	1.24374	1.10104	1.41156	0.383824	1.19313	1.27063	0.0207269	0.171769	1.25081	2.0698	1.53977	1.88532	0.163404	0.327137	0.598138	0.198253	0.470076	1.01278	1.16952	1.61032	1.09343	0.0131053	1.63897	1.64625	0.00445957	0.00233596	0.00788437	1.10341	1.09833	1.11663	1.3245	1.58688	1.52983	1.02923	1.58913	1.52701	0.00852679	1.02428	1.44014	0	0	1.10301	0.031556	0	0.00106431	1.23759	0.740537	1.02806	1.0748	1.49276	1.15764	1.02898	1.29341	0	1.10017	1.14421	1.55267	0	1.43389	0	1.25486	1.63359	1.28995	1.81641	1.59013	0	1.46632	1.67459	0.00781774	1.11568	1.41309	1.43712	0.0368163	0.00788369	0.029109	1.02819	1.02393	1.11877	0	1.38387	0.00509175	0.796563	1.19181	1.01348	0.54501	1.14885	0.0118961	0.150388	0.776099	0.0767581	1.2047	0.0815876	0.1115	1.21211	1.12758	2.02291	0.0668663	0.16407	0.0210649	0.00426074	0.253692	0.981705	0.656193	1.02051	0.00317839	1.24791
