model	slope	intercept	r_squared	p_value	n
Arabidopsis thaliana ~ year	-9.74698427713381e-05	0.204616700795292	0.439574135125673	1.05203823031463e-05	36
Pseudomonas viridiflava ~ year	-6.22770788898931e-05	0.142907544263303	0.332293712725646	0.000233635921930321	36
