Iteration	Plus_Modern	Minus_Modern	Binomial_p	Fisher_p
673	5	3	0.7265625	0.314685314685315
674	6	2	0.2890625	0.131934731934732
675	6	2	0.2890625	0.131934731934732
676	6	2	0.2890625	0.131934731934732
677	5	3	0.7265625	0.314685314685315
678	7	1	0.0703125	0.0405594405594406
679	6	2	0.2890625	0.131934731934732
680	7	1	0.0703125	0.0405594405594406
681	7	1	0.0703125	0.0405594405594406
682	7	1	0.0703125	0.0405594405594406
683	7	1	0.0703125	0.0405594405594406
684	8	0	0.0078125	0.00699300699300699
685	7	1	0.0703125	0.0405594405594406
686	6	2	0.2890625	0.131934731934732
687	7	1	0.0703125	0.0405594405594406
688	8	0	0.0078125	0.00699300699300699
689	5	3	0.7265625	0.314685314685315
690	6	2	0.2890625	0.131934731934732
691	8	0	0.0078125	0.00699300699300699
692	8	0	0.0078125	0.00699300699300699
693	6	2	0.2890625	0.131934731934732
694	8	0	0.0078125	0.00699300699300699
695	8	0	0.0078125	0.00699300699300699
696	8	0	0.0078125	0.00699300699300699
697	6	2	0.2890625	0.131934731934732
698	8	0	0.0078125	0.00699300699300699
699	6	2	0.2890625	0.131934731934732
700	8	0	0.0078125	0.00699300699300699
701	7	1	0.0703125	0.0405594405594406
702	6	2	0.2890625	0.131934731934732
703	5	3	0.7265625	0.314685314685315
704	7	1	0.0703125	0.0405594405594406
705	6	2	0.2890625	0.131934731934732
706	6	2	0.2890625	0.131934731934732
707	6	2	0.2890625	0.131934731934732
708	8	0	0.0078125	0.00699300699300699
709	7	1	0.0703125	0.0405594405594406
710	7	1	0.0703125	0.0405594405594406
711	4	4	1	0.608391608391609
712	7	1	0.0703125	0.0405594405594406
713	8	0	0.0078125	0.00699300699300699
714	5	3	0.7265625	0.314685314685315
715	5	3	0.7265625	0.314685314685315
716	8	0	0.0078125	0.00699300699300699
717	7	1	0.0703125	0.0405594405594406
718	7	1	0.0703125	0.0405594405594406
719	8	0	0.0078125	0.00699300699300699
720	7	1	0.0703125	0.0405594405594406
721	8	0	0.0078125	0.00699300699300699
722	5	3	0.7265625	0.314685314685315
723	4	4	1	0.608391608391609
724	6	2	0.2890625	0.131934731934732
725	6	2	0.2890625	0.131934731934732
726	7	1	0.0703125	0.0405594405594406
727	7	1	0.0703125	0.0405594405594406
728	7	1	0.0703125	0.0405594405594406
729	7	1	0.0703125	0.0405594405594406
730	5	3	0.7265625	0.314685314685315
731	5	3	0.7265625	0.314685314685315
732	8	0	0.0078125	0.00699300699300699
733	6	2	0.2890625	0.131934731934732
734	7	1	0.0703125	0.0405594405594406
735	6	2	0.2890625	0.131934731934732
736	6	2	0.2890625	0.131934731934732
737	6	2	0.2890625	0.131934731934732
738	6	2	0.2890625	0.131934731934732
739	5	3	0.7265625	0.314685314685315
740	6	2	0.2890625	0.131934731934732
741	8	0	0.0078125	0.00699300699300699
742	8	0	0.0078125	0.00699300699300699
743	5	3	0.7265625	0.314685314685315
744	6	2	0.2890625	0.131934731934732
745	7	1	0.0703125	0.0405594405594406
746	7	1	0.0703125	0.0405594405594406
747	8	0	0.0078125	0.00699300699300699
748	7	1	0.0703125	0.0405594405594406
749	6	2	0.2890625	0.131934731934732
750	5	3	0.7265625	0.314685314685315
751	7	1	0.0703125	0.0405594405594406
752	7	1	0.0703125	0.0405594405594406
753	7	1	0.0703125	0.0405594405594406
754	5	3	0.7265625	0.314685314685315
755	4	4	1	0.608391608391609
756	6	2	0.2890625	0.131934731934732
757	8	0	0.0078125	0.00699300699300699
758	8	0	0.0078125	0.00699300699300699
759	7	1	0.0703125	0.0405594405594406
760	7	1	0.0703125	0.0405594405594406
761	7	1	0.0703125	0.0405594405594406
762	5	3	0.7265625	0.314685314685315
763	5	3	0.7265625	0.314685314685315
764	6	2	0.2890625	0.131934731934732
765	6	2	0.2890625	0.131934731934732
766	6	2	0.2890625	0.131934731934732
767	3	5	0.7265625	1
768	6	2	0.2890625	0.131934731934732
769	8	0	0.0078125	0.00699300699300699
770	7	1	0.0703125	0.0405594405594406
771	7	1	0.0703125	0.0405594405594406
772	6	2	0.2890625	0.131934731934732
773	8	0	0.0078125	0.00699300699300699
774	8	0	0.0078125	0.00699300699300699
775	4	4	1	0.608391608391609
776	7	1	0.0703125	0.0405594405594406
777	6	2	0.2890625	0.131934731934732
778	8	0	0.0078125	0.00699300699300699
779	7	1	0.0703125	0.0405594405594406
780	8	0	0.0078125	0.00699300699300699
781	5	3	0.7265625	0.314685314685315
782	4	4	1	0.608391608391609
783	6	2	0.2890625	0.131934731934732
784	7	1	0.0703125	0.0405594405594406
785	7	1	0.0703125	0.0405594405594406
786	8	0	0.0078125	0.00699300699300699
787	8	0	0.0078125	0.00699300699300699
788	5	3	0.7265625	0.314685314685315
789	7	1	0.0703125	0.0405594405594406
790	7	1	0.0703125	0.0405594405594406
791	8	0	0.0078125	0.00699300699300699
792	8	0	0.0078125	0.00699300699300699
793	7	1	0.0703125	0.0405594405594406
794	7	1	0.0703125	0.0405594405594406
795	6	2	0.2890625	0.131934731934732
796	6	2	0.2890625	0.131934731934732
797	7	1	0.0703125	0.0405594405594406
798	8	0	0.0078125	0.00699300699300699
799	6	2	0.2890625	0.131934731934732
800	7	1	0.0703125	0.0405594405594406
801	7	1	0.0703125	0.0405594405594406
802	6	2	0.2890625	0.131934731934732
803	6	2	0.2890625	0.131934731934732
804	5	3	0.7265625	0.314685314685315
805	6	2	0.2890625	0.131934731934732
806	6	2	0.2890625	0.131934731934732
807	8	0	0.0078125	0.00699300699300699
808	6	2	0.2890625	0.131934731934732
809	5	3	0.7265625	0.314685314685315
810	6	2	0.2890625	0.131934731934732
811	6	2	0.2890625	0.131934731934732
812	5	3	0.7265625	0.314685314685315
813	5	3	0.7265625	0.314685314685315
814	5	3	0.7265625	0.314685314685315
815	8	0	0.0078125	0.00699300699300699
816	8	0	0.0078125	0.00699300699300699
817	6	2	0.2890625	0.131934731934732
818	7	1	0.0703125	0.0405594405594406
819	7	1	0.0703125	0.0405594405594406
820	5	3	0.7265625	0.314685314685315
821	5	3	0.7265625	0.314685314685315
822	7	1	0.0703125	0.0405594405594406
823	8	0	0.0078125	0.00699300699300699
824	6	2	0.2890625	0.131934731934732
825	4	4	1	0.608391608391609
826	8	0	0.0078125	0.00699300699300699
827	8	0	0.0078125	0.00699300699300699
828	8	0	0.0078125	0.00699300699300699
829	6	2	0.2890625	0.131934731934732
830	6	2	0.2890625	0.131934731934732
831	6	2	0.2890625	0.131934731934732
832	8	0	0.0078125	0.00699300699300699
833	6	2	0.2890625	0.131934731934732
834	7	1	0.0703125	0.0405594405594406
835	6	2	0.2890625	0.131934731934732
836	8	0	0.0078125	0.00699300699300699
837	7	1	0.0703125	0.0405594405594406
838	7	1	0.0703125	0.0405594405594406
839	6	2	0.2890625	0.131934731934732
840	6	2	0.2890625	0.131934731934732
841	7	1	0.0703125	0.0405594405594406
842	6	2	0.2890625	0.131934731934732
843	6	2	0.2890625	0.131934731934732
844	5	3	0.7265625	0.314685314685315
845	7	1	0.0703125	0.0405594405594406
846	7	1	0.0703125	0.0405594405594406
847	7	1	0.0703125	0.0405594405594406
848	8	0	0.0078125	0.00699300699300699
849	7	1	0.0703125	0.0405594405594406
850	7	1	0.0703125	0.0405594405594406
851	7	1	0.0703125	0.0405594405594406
852	7	1	0.0703125	0.0405594405594406
853	6	2	0.2890625	0.131934731934732
854	8	0	0.0078125	0.00699300699300699
855	8	0	0.0078125	0.00699300699300699
856	8	0	0.0078125	0.00699300699300699
857	8	0	0.0078125	0.00699300699300699
858	8	0	0.0078125	0.00699300699300699
859	5	3	0.7265625	0.314685314685315
860	6	2	0.2890625	0.131934731934732
861	8	0	0.0078125	0.00699300699300699
862	5	3	0.7265625	0.314685314685315
863	5	3	0.7265625	0.314685314685315
864	7	1	0.0703125	0.0405594405594406
865	7	1	0.0703125	0.0405594405594406
866	6	2	0.2890625	0.131934731934732
867	7	1	0.0703125	0.0405594405594406
868	7	1	0.0703125	0.0405594405594406
869	6	2	0.2890625	0.131934731934732
870	8	0	0.0078125	0.00699300699300699
871	8	0	0.0078125	0.00699300699300699
872	8	0	0.0078125	0.00699300699300699
873	8	0	0.0078125	0.00699300699300699
874	5	3	0.7265625	0.314685314685315
875	6	2	0.2890625	0.131934731934732
876	4	4	1	0.608391608391609
877	7	1	0.0703125	0.0405594405594406
878	7	1	0.0703125	0.0405594405594406
879	6	2	0.2890625	0.131934731934732
880	7	1	0.0703125	0.0405594405594406
881	7	1	0.0703125	0.0405594405594406
882	7	1	0.0703125	0.0405594405594406
883	8	0	0.0078125	0.00699300699300699
884	8	0	0.0078125	0.00699300699300699
885	5	3	0.7265625	0.314685314685315
886	7	1	0.0703125	0.0405594405594406
887	6	2	0.2890625	0.131934731934732
888	7	1	0.0703125	0.0405594405594406
889	7	1	0.0703125	0.0405594405594406
890	7	1	0.0703125	0.0405594405594406
891	8	0	0.0078125	0.00699300699300699
892	5	3	0.7265625	0.314685314685315
893	6	2	0.2890625	0.131934731934732
894	8	0	0.0078125	0.00699300699300699
895	8	0	0.0078125	0.00699300699300699
896	6	2	0.2890625	0.131934731934732
897	7	1	0.0703125	0.0405594405594406
898	8	0	0.0078125	0.00699300699300699
899	7	1	0.0703125	0.0405594405594406
900	7	1	0.0703125	0.0405594405594406
901	7	1	0.0703125	0.0405594405594406
902	8	0	0.0078125	0.00699300699300699
903	4	4	1	0.608391608391609
904	6	2	0.2890625	0.131934731934732
905	6	2	0.2890625	0.131934731934732
906	7	1	0.0703125	0.0405594405594406
907	4	4	1	0.608391608391609
908	7	1	0.0703125	0.0405594405594406
909	8	0	0.0078125	0.00699300699300699
910	6	2	0.2890625	0.131934731934732
911	7	1	0.0703125	0.0405594405594406
912	6	2	0.2890625	0.131934731934732
913	7	1	0.0703125	0.0405594405594406
914	7	1	0.0703125	0.0405594405594406
915	8	0	0.0078125	0.00699300699300699
916	7	1	0.0703125	0.0405594405594406
917	6	2	0.2890625	0.131934731934732
918	5	3	0.7265625	0.314685314685315
919	4	4	1	0.608391608391609
920	8	0	0.0078125	0.00699300699300699
921	7	1	0.0703125	0.0405594405594406
922	5	3	0.7265625	0.314685314685315
923	5	3	0.7265625	0.314685314685315
924	6	2	0.2890625	0.131934731934732
925	6	2	0.2890625	0.131934731934732
926	5	3	0.7265625	0.314685314685315
927	8	0	0.0078125	0.00699300699300699
928	8	0	0.0078125	0.00699300699300699
929	7	1	0.0703125	0.0405594405594406
930	7	1	0.0703125	0.0405594405594406
931	8	0	0.0078125	0.00699300699300699
932	8	0	0.0078125	0.00699300699300699
933	8	0	0.0078125	0.00699300699300699
934	8	0	0.0078125	0.00699300699300699
935	5	3	0.7265625	0.314685314685315
936	8	0	0.0078125	0.00699300699300699
937	8	0	0.0078125	0.00699300699300699
938	6	2	0.2890625	0.131934731934732
939	4	4	1	0.608391608391609
940	7	1	0.0703125	0.0405594405594406
941	6	2	0.2890625	0.131934731934732
942	8	0	0.0078125	0.00699300699300699
943	5	3	0.7265625	0.314685314685315
944	7	1	0.0703125	0.0405594405594406
945	5	3	0.7265625	0.314685314685315
946	7	1	0.0703125	0.0405594405594406
947	8	0	0.0078125	0.00699300699300699
948	6	2	0.2890625	0.131934731934732
949	7	1	0.0703125	0.0405594405594406
950	6	2	0.2890625	0.131934731934732
951	8	0	0.0078125	0.00699300699300699
952	7	1	0.0703125	0.0405594405594406
953	8	0	0.0078125	0.00699300699300699
954	6	2	0.2890625	0.131934731934732
955	7	1	0.0703125	0.0405594405594406
956	8	0	0.0078125	0.00699300699300699
957	7	1	0.0703125	0.0405594405594406
958	6	2	0.2890625	0.131934731934732
959	8	0	0.0078125	0.00699300699300699
960	7	1	0.0703125	0.0405594405594406
961	8	0	0.0078125	0.00699300699300699
962	7	1	0.0703125	0.0405594405594406
963	7	1	0.0703125	0.0405594405594406
964	6	2	0.2890625	0.131934731934732
965	7	1	0.0703125	0.0405594405594406
966	8	0	0.0078125	0.00699300699300699
967	6	2	0.2890625	0.131934731934732
968	8	0	0.0078125	0.00699300699300699
969	6	2	0.2890625	0.131934731934732
970	7	1	0.0703125	0.0405594405594406
971	5	3	0.7265625	0.314685314685315
972	8	0	0.0078125	0.00699300699300699
973	7	1	0.0703125	0.0405594405594406
974	6	2	0.2890625	0.131934731934732
975	7	1	0.0703125	0.0405594405594406
976	8	0	0.0078125	0.00699300699300699
977	8	0	0.0078125	0.00699300699300699
978	6	2	0.2890625	0.131934731934732
979	7	1	0.0703125	0.0405594405594406
980	7	1	0.0703125	0.0405594405594406
981	6	2	0.2890625	0.131934731934732
982	7	1	0.0703125	0.0405594405594406
983	8	0	0.0078125	0.00699300699300699
984	7	1	0.0703125	0.0405594405594406
985	8	0	0.0078125	0.00699300699300699
986	6	2	0.2890625	0.131934731934732
987	6	2	0.2890625	0.131934731934732
988	7	1	0.0703125	0.0405594405594406
989	8	0	0.0078125	0.00699300699300699
990	7	1	0.0703125	0.0405594405594406
991	4	4	1	0.608391608391609
992	7	1	0.0703125	0.0405594405594406
993	6	2	0.2890625	0.131934731934732
994	6	2	0.2890625	0.131934731934732
995	7	1	0.0703125	0.0405594405594406
996	7	1	0.0703125	0.0405594405594406
997	7	1	0.0703125	0.0405594405594406
998	4	4	1	0.608391608391609
999	8	0	0.0078125	0.00699300699300699
1000	6	2	0.2890625	0.131934731934732
