Iteration	Plus_Modern	Minus_Modern	Binomial_p	Fisher_p
135	8	0	0.0078125	0.00699300699300699
136	8	0	0.0078125	0.00699300699300699
137	6	2	0.2890625	0.131934731934732
138	6	2	0.2890625	0.131934731934732
139	7	1	0.0703125	0.0405594405594406
140	5	3	0.7265625	0.314685314685315
141	6	2	0.2890625	0.131934731934732
142	7	1	0.0703125	0.0405594405594406
143	7	1	0.0703125	0.0405594405594406
144	6	2	0.2890625	0.131934731934732
145	7	1	0.0703125	0.0405594405594406
146	8	0	0.0078125	0.00699300699300699
147	8	0	0.0078125	0.00699300699300699
148	4	4	1	0.608391608391609
149	6	2	0.2890625	0.131934731934732
150	7	1	0.0703125	0.0405594405594406
151	7	1	0.0703125	0.0405594405594406
152	5	3	0.7265625	0.314685314685315
153	7	1	0.0703125	0.0405594405594406
154	8	0	0.0078125	0.00699300699300699
155	7	1	0.0703125	0.0405594405594406
156	7	1	0.0703125	0.0405594405594406
157	8	0	0.0078125	0.00699300699300699
158	7	1	0.0703125	0.0405594405594406
159	6	2	0.2890625	0.131934731934732
160	7	1	0.0703125	0.0405594405594406
161	7	1	0.0703125	0.0405594405594406
162	6	2	0.2890625	0.131934731934732
163	5	3	0.7265625	0.314685314685315
164	7	1	0.0703125	0.0405594405594406
165	8	0	0.0078125	0.00699300699300699
166	8	0	0.0078125	0.00699300699300699
167	8	0	0.0078125	0.00699300699300699
168	6	2	0.2890625	0.131934731934732
169	6	2	0.2890625	0.131934731934732
170	7	1	0.0703125	0.0405594405594406
171	6	2	0.2890625	0.131934731934732
172	8	0	0.0078125	0.00699300699300699
173	6	2	0.2890625	0.131934731934732
174	7	1	0.0703125	0.0405594405594406
175	6	2	0.2890625	0.131934731934732
176	8	0	0.0078125	0.00699300699300699
177	7	1	0.0703125	0.0405594405594406
178	7	1	0.0703125	0.0405594405594406
179	7	1	0.0703125	0.0405594405594406
180	7	1	0.0703125	0.0405594405594406
181	6	2	0.2890625	0.131934731934732
182	7	1	0.0703125	0.0405594405594406
183	6	2	0.2890625	0.131934731934732
184	8	0	0.0078125	0.00699300699300699
185	6	2	0.2890625	0.131934731934732
186	7	1	0.0703125	0.0405594405594406
187	6	2	0.2890625	0.131934731934732
188	8	0	0.0078125	0.00699300699300699
189	8	0	0.0078125	0.00699300699300699
190	4	4	1	0.608391608391609
191	8	0	0.0078125	0.00699300699300699
192	6	2	0.2890625	0.131934731934732
193	7	1	0.0703125	0.0405594405594406
194	6	2	0.2890625	0.131934731934732
195	7	1	0.0703125	0.0405594405594406
196	7	1	0.0703125	0.0405594405594406
197	8	0	0.0078125	0.00699300699300699
198	6	2	0.2890625	0.131934731934732
199	8	0	0.0078125	0.00699300699300699
200	7	1	0.0703125	0.0405594405594406
201	7	1	0.0703125	0.0405594405594406
202	7	1	0.0703125	0.0405594405594406
203	6	2	0.2890625	0.131934731934732
204	7	1	0.0703125	0.0405594405594406
205	7	1	0.0703125	0.0405594405594406
206	7	1	0.0703125	0.0405594405594406
207	7	1	0.0703125	0.0405594405594406
208	6	2	0.2890625	0.131934731934732
209	6	2	0.2890625	0.131934731934732
210	8	0	0.0078125	0.00699300699300699
211	8	0	0.0078125	0.00699300699300699
212	6	2	0.2890625	0.131934731934732
213	7	1	0.0703125	0.0405594405594406
214	7	1	0.0703125	0.0405594405594406
215	6	2	0.2890625	0.131934731934732
216	6	2	0.2890625	0.131934731934732
217	5	3	0.7265625	0.314685314685315
218	8	0	0.0078125	0.00699300699300699
219	7	1	0.0703125	0.0405594405594406
220	7	1	0.0703125	0.0405594405594406
221	7	1	0.0703125	0.0405594405594406
222	7	1	0.0703125	0.0405594405594406
223	7	1	0.0703125	0.0405594405594406
224	5	3	0.7265625	0.314685314685315
225	7	1	0.0703125	0.0405594405594406
226	7	1	0.0703125	0.0405594405594406
227	7	1	0.0703125	0.0405594405594406
228	8	0	0.0078125	0.00699300699300699
229	6	2	0.2890625	0.131934731934732
230	6	2	0.2890625	0.131934731934732
231	7	1	0.0703125	0.0405594405594406
232	7	1	0.0703125	0.0405594405594406
233	7	1	0.0703125	0.0405594405594406
234	8	0	0.0078125	0.00699300699300699
235	8	0	0.0078125	0.00699300699300699
236	7	1	0.0703125	0.0405594405594406
237	7	1	0.0703125	0.0405594405594406
238	7	1	0.0703125	0.0405594405594406
239	7	1	0.0703125	0.0405594405594406
240	8	0	0.0078125	0.00699300699300699
241	8	0	0.0078125	0.00699300699300699
242	6	2	0.2890625	0.131934731934732
243	8	0	0.0078125	0.00699300699300699
244	6	2	0.2890625	0.131934731934732
245	6	2	0.2890625	0.131934731934732
246	6	2	0.2890625	0.131934731934732
247	8	0	0.0078125	0.00699300699300699
248	6	2	0.2890625	0.131934731934732
249	8	0	0.0078125	0.00699300699300699
250	7	1	0.0703125	0.0405594405594406
251	8	0	0.0078125	0.00699300699300699
252	7	1	0.0703125	0.0405594405594406
253	8	0	0.0078125	0.00699300699300699
254	8	0	0.0078125	0.00699300699300699
255	6	2	0.2890625	0.131934731934732
256	6	2	0.2890625	0.131934731934732
257	7	1	0.0703125	0.0405594405594406
258	3	5	0.7265625	1
259	5	3	0.7265625	0.314685314685315
260	6	2	0.2890625	0.131934731934732
261	8	0	0.0078125	0.00699300699300699
262	6	2	0.2890625	0.131934731934732
263	5	3	0.7265625	0.314685314685315
264	8	0	0.0078125	0.00699300699300699
265	8	0	0.0078125	0.00699300699300699
266	7	1	0.0703125	0.0405594405594406
267	7	1	0.0703125	0.0405594405594406
268	6	2	0.2890625	0.131934731934732
269	7	1	0.0703125	0.0405594405594406
270	8	0	0.0078125	0.00699300699300699
271	3	5	0.7265625	1
272	7	1	0.0703125	0.0405594405594406
273	7	1	0.0703125	0.0405594405594406
274	5	3	0.7265625	0.314685314685315
275	6	2	0.2890625	0.131934731934732
276	5	3	0.7265625	0.314685314685315
277	8	0	0.0078125	0.00699300699300699
278	8	0	0.0078125	0.00699300699300699
279	4	4	1	0.608391608391609
280	7	1	0.0703125	0.0405594405594406
281	5	3	0.7265625	0.314685314685315
282	8	0	0.0078125	0.00699300699300699
283	8	0	0.0078125	0.00699300699300699
284	6	2	0.2890625	0.131934731934732
285	8	0	0.0078125	0.00699300699300699
286	7	1	0.0703125	0.0405594405594406
287	6	2	0.2890625	0.131934731934732
288	8	0	0.0078125	0.00699300699300699
289	8	0	0.0078125	0.00699300699300699
290	5	3	0.7265625	0.314685314685315
291	6	2	0.2890625	0.131934731934732
292	8	0	0.0078125	0.00699300699300699
293	7	1	0.0703125	0.0405594405594406
294	5	3	0.7265625	0.314685314685315
295	7	1	0.0703125	0.0405594405594406
296	7	1	0.0703125	0.0405594405594406
297	6	2	0.2890625	0.131934731934732
298	7	1	0.0703125	0.0405594405594406
299	7	1	0.0703125	0.0405594405594406
300	7	1	0.0703125	0.0405594405594406
301	4	4	1	0.608391608391609
302	8	0	0.0078125	0.00699300699300699
303	7	1	0.0703125	0.0405594405594406
304	7	1	0.0703125	0.0405594405594406
305	7	1	0.0703125	0.0405594405594406
306	7	1	0.0703125	0.0405594405594406
307	7	1	0.0703125	0.0405594405594406
308	8	0	0.0078125	0.00699300699300699
309	5	3	0.7265625	0.314685314685315
310	6	2	0.2890625	0.131934731934732
311	5	3	0.7265625	0.314685314685315
312	8	0	0.0078125	0.00699300699300699
313	7	1	0.0703125	0.0405594405594406
314	7	1	0.0703125	0.0405594405594406
315	5	3	0.7265625	0.314685314685315
316	8	0	0.0078125	0.00699300699300699
317	6	2	0.2890625	0.131934731934732
318	7	1	0.0703125	0.0405594405594406
319	6	2	0.2890625	0.131934731934732
320	7	1	0.0703125	0.0405594405594406
321	6	2	0.2890625	0.131934731934732
322	6	2	0.2890625	0.131934731934732
323	5	3	0.7265625	0.314685314685315
324	5	3	0.7265625	0.314685314685315
325	6	2	0.2890625	0.131934731934732
326	6	2	0.2890625	0.131934731934732
327	8	0	0.0078125	0.00699300699300699
328	7	1	0.0703125	0.0405594405594406
329	8	0	0.0078125	0.00699300699300699
330	8	0	0.0078125	0.00699300699300699
331	7	1	0.0703125	0.0405594405594406
332	5	3	0.7265625	0.314685314685315
333	4	4	1	0.608391608391609
334	6	2	0.2890625	0.131934731934732
335	8	0	0.0078125	0.00699300699300699
336	7	1	0.0703125	0.0405594405594406
337	6	2	0.2890625	0.131934731934732
338	8	0	0.0078125	0.00699300699300699
339	6	2	0.2890625	0.131934731934732
340	8	0	0.0078125	0.00699300699300699
341	8	0	0.0078125	0.00699300699300699
342	8	0	0.0078125	0.00699300699300699
343	8	0	0.0078125	0.00699300699300699
344	7	1	0.0703125	0.0405594405594406
345	8	0	0.0078125	0.00699300699300699
346	6	2	0.2890625	0.131934731934732
347	7	1	0.0703125	0.0405594405594406
348	8	0	0.0078125	0.00699300699300699
349	6	2	0.2890625	0.131934731934732
350	8	0	0.0078125	0.00699300699300699
351	6	2	0.2890625	0.131934731934732
352	7	1	0.0703125	0.0405594405594406
353	5	3	0.7265625	0.314685314685315
354	8	0	0.0078125	0.00699300699300699
355	8	0	0.0078125	0.00699300699300699
356	8	0	0.0078125	0.00699300699300699
357	6	2	0.2890625	0.131934731934732
358	7	1	0.0703125	0.0405594405594406
359	8	0	0.0078125	0.00699300699300699
360	8	0	0.0078125	0.00699300699300699
361	7	1	0.0703125	0.0405594405594406
362	6	2	0.2890625	0.131934731934732
363	8	0	0.0078125	0.00699300699300699
364	6	2	0.2890625	0.131934731934732
365	6	2	0.2890625	0.131934731934732
366	6	2	0.2890625	0.131934731934732
