pos	value	group	Pos	total	base	proportion	pos_from_5end	sample
8	20544	C.T	8	2296747	C	0.00894482500684664	8	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
9	18240	C.T	9	2174416	C	0.00838845924606883	9	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
10	17600	C.T	10	2225519	C	0.00790826768946929	10	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
11	20183	C.T	11	2310034	C	0.00873710083920843	11	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
12	17681	C.T	12	2194094	C	0.00805845146105864	12	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
13	17089	C.T	13	2239645	C	0.00763022711188604	13	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
14	19599	C.T	14	2323917	C	0.0084336058473689	14	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
15	17602	C.T	15	2209033	C	0.00796819241722509	15	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
16	17416	C.T	16	2255400	C	0.00772191185599007	16	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
17	19328	C.T	17	2334445	C	0.00827948398869967	17	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
18	17069	C.T	18	2212673	C	0.00771419907053595	18	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
19	16832	C.T	19	2256377	C	0.00745974631012459	19	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
20	19470	C.T	20	2329584	C	0.00835771536892424	20	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
21	16975	C.T	21	2201114	C	0.00771200401251366	21	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
22	16565	C.T	22	2242481	C	0.0073869076259732	22	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
23	19320	C.T	23	2324615	C	0.00831105365834773	23	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
24	17028	C.T	24	2200666	C	0.00773765760001745	24	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
25	16613	C.T	25	2234736	C	0.00743398772830437	25	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
26	19573	C.T	26	2316699	C	0.00844865906188072	26	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
