109.NOR_1990	0.9210	26.64
120.RUS_1860	0.9010	5.50
27.ESP_1975	0.7659	1.81
30.ESP_1983b	0.7583	1.88
33.ESP_1985b	0.9174	32.86
34.ESP_1985c_S36	0.8742	41.06
64.GBR_1933b_S36	0.8026	5.78
75.LTU_1894_S30	0.9186	6.81
76.LTU_2009_S19	0.8697	62.85
86.NOR_1911_S7	0.7169	1.54
HB0737	0.8848	11.57
HB0766	0.8683	8.03
HB0814	0.8808	9.60
HB0840	0.7350	1.61
HB0841	0.7124	1.62
PL0001	0.8597	4.94
PL0026	0.7393	1.70
PL0027	0.6776	1.37
PL0042	0.9143	76.80
PL0046	0.8443	18.05
PL0051	0.8838	18.49
PL0053	0.8537	11.13
PL0059	0.9147	138.75
PL0065	0.6797	1.43
PL0068	0.8980	13.24
PL0073	0.7858	2.76
PL0080	0.8855	26.59
PL0102	0.8961	33.54
PL0127	0.8628	7.96
PL0131	0.8890	51.15
PL0137	0.8727	16.34
PL0139	0.7462	1.73
PL0185	0.8085	2.71
PL0210	0.7923	9.42
PL0220	0.8223	18.08
PL0222	0.5488	1.02
PL0224	0.8521	7.17
PL0230	0.7415	1.93
PL0235	0.8685	8.92
PL0240	0.8329	7.84
