109.NOR_1990	0.9662	28.26
120.RUS_1860	0.9371	5.91
27.ESP_1975	0.7961	1.88
30.ESP_1983b	0.8016	1.99
33.ESP_1985b	0.9636	34.78
34.ESP_1985c_S36	0.8867	42.57
64.GBR_1933b_S36	0.8298	6.03
75.LTU_1894_S30	0.9479	7.24
76.LTU_2009_S19	0.8864	65.25
86.NOR_1911_S7	0.7649	1.66
HB0737	0.9488	12.32
HB0766	0.8935	8.33
HB0808	0.6299	1.24
HB0814	0.9414	10.22
HB0840	0.8095	1.76
HB0841	0.7612	1.69
PL0001	0.8967	5.13
PL0026	0.8111	1.85
PL0027	0.6808	1.37
PL0042	0.9445	81.10
PL0046	0.8973	18.89
PL0051	0.9450	19.86
PL0053	0.9030	11.25
PL0059	0.9773	147.81
PL0065	0.7115	1.47
PL0068	0.9509	13.96
PL0073	0.8247	2.85
PL0080	0.9335	28.20
PL0087	0.7060	1.36
PL0102	0.9598	35.59
PL0105	0.6913	1.40
PL0127	0.9203	8.31
PL0131	0.9720	55.00
PL0137	0.9291	17.56
PL0139	0.7523	1.74
PL0185	0.8486	2.92
PL0210	0.8408	9.75
PL0220	0.8730	19.29
PL0222	0.5953	1.10
PL0224	0.9083	7.46
PL0230	0.7933	2.03
PL0235	0.9158	9.25
PL0240	0.8604	8.04
