model	slope	intercept	r_squared	p_value	n
Arabidopsis thaliana ~ year	-7.16414487188724e-05	0.153852028554063	0.284578879468913	9.45362581105718e-05	48
Pseudomonas sp. ~ year	-4.72160611245942e-05	0.112128246641873	0.207602485714556	0.00113677388742499	48
