p5.C1	1	4740
p12.F2	1	4740
p20.F10_53451-58277	1	4827
p23.B8_41423-46249	1	4827
p4.A6_79170-83996	1	4827
p5.D5_36497-41323	1	4665
p25.C11_932_0-2458	1	2458
p22.D1_275_42864-47691	1	4740
p12.A11_53375-58201	1	4827
p13.C1_43384-48210	1	4665
p13.C7_242857-247683	1	4665
p20.G9_599596-604422	1	4827
p21.A8_53451-58277	1	4827
p21.E3_43383-48209	1	4665
p21.F1_317254-322080	1	4665
p21.F9_53451-58277	1	4827
p22.A8_43260-48086	1	4665
p22.B5_43300-48126	1	4665
p22.D4_36093-40919	1	4827
p26.D6_71049-75875	1	4827
p26.E7_41446-46272	1	4827
p27.D6_1194323-1199149	1	4665
p3.F8_167701-172527	1	4827
p4.E5_35995-40821	1	4665
p4.E6_43300-48126	1	4665
p5.C3_43384-48210	1	4665
p6.B9_36131-40957	1	4827
p8.B9_36140-40966	1	4665
p8.C7_721101-725927	1	4665
p26.B7_43179-47951	1	4773
p12.E2_36342-41168	1	4827
p20.D4_125912-130741	1	4830
p25.B2_15720-20546	1	4827
p25.C2_142782-147608	1	4827
p25.D2_5480-10306	1	4827
p3.A3_34343-39169	1	4827
p3.F12_79205-84031	1	4827
p6.A10_36463-41292	1	4830
p8.B3_79204-84030	1	4827
