Run	Plus_Modern	Minus_Modern	Binomial_p
917	8	0	0.0078125
918	4	4	1
919	7	1	0.0703125
920	8	0	0.0078125
921	7	1	0.0703125
922	8	0	0.0078125
923	6	2	0.2890625
924	8	0	0.0078125
925	7	1	0.0703125
926	8	0	0.0078125
927	6	2	0.2890625
928	6	2	0.2890625
929	7	1	0.0703125
930	8	0	0.0078125
931	7	1	0.0703125
932	6	2	0.2890625
933	8	0	0.0078125
934	6	2	0.2890625
935	8	0	0.0078125
936	7	1	0.0703125
937	6	2	0.2890625
938	8	0	0.0078125
939	6	2	0.2890625
940	7	1	0.0703125
941	7	1	0.0703125
942	8	0	0.0078125
943	7	1	0.0703125
944	7	1	0.0703125
945	6	2	0.2890625
946	6	2	0.2890625
947	6	2	0.2890625
948	8	0	0.0078125
949	7	1	0.0703125
950	5	3	0.7265625
951	7	1	0.0703125
952	8	0	0.0078125
953	5	3	0.7265625
954	7	1	0.0703125
955	6	2	0.2890625
956	7	1	0.0703125
957	5	3	0.7265625
958	7	1	0.0703125
959	7	1	0.0703125
960	6	2	0.2890625
961	6	2	0.2890625
962	8	0	0.0078125
963	7	1	0.0703125
964	7	1	0.0703125
965	7	1	0.0703125
966	7	1	0.0703125
967	6	2	0.2890625
968	5	3	0.7265625
969	8	0	0.0078125
970	6	2	0.2890625
971	8	0	0.0078125
972	5	3	0.7265625
973	7	1	0.0703125
974	6	2	0.2890625
975	7	1	0.0703125
976	6	2	0.2890625
977	4	4	1
978	7	1	0.0703125
979	7	1	0.0703125
980	7	1	0.0703125
981	7	1	0.0703125
982	6	2	0.2890625
983	7	1	0.0703125
984	5	3	0.7265625
985	7	1	0.0703125
986	5	3	0.7265625
987	7	1	0.0703125
988	8	0	0.0078125
989	8	0	0.0078125
990	6	2	0.2890625
991	7	1	0.0703125
992	6	2	0.2890625
993	8	0	0.0078125
994	7	1	0.0703125
995	8	0	0.0078125
996	7	1	0.0703125
997	6	2	0.2890625
998	6	2	0.2890625
999	6	2	0.2890625
1000	7	1	0.0703125
