2.419979880512562	2	p8_H7
3.251492661025379	3	p8_H7
2.905095314621508	4	p8_H7
5.407569405911643	5	p8_H7
6.124927050698627	6	p8_H7
6.528209192130505	7	p8_H7
6.462819648816117	8	p8_H7
6.529141374595286	9	p8_H7
6.7417630738796515	10	p8_H7
6.882716893984408	11	p8_H7
6.8729279300528425	12	p8_H7
7.001813791168766	13	p8_H7
7.072324482731579	14	p8_H7
7.086300331007849	15	p8_H7
7.086969416155187	16	p8_H7
7.1696251131149715	17	p8_H7
7.326577378839744	18	p8_H7
7.315497189104347	19	p8_H7
7.261402977460158	20	p8_H7
7.292956598496142	21	p8_H7
7.348869233543505	22	p8_H7
7.2856581938802405	23	p8_H7
7.29677095099423	24	p8_H7
7.511631496020206	25	p8_H7
7.550638174054827	26	p8_H7
6.853096828059247	27	p8_H7
1.761320671639485	2	p24_H2
1.843855997075351	3	p24_H2
2.946790766253544	4	p24_H2
5.310318432390826	5	p24_H2
6.1179885949415915	6	p24_H2
6.52331332507915	7	p24_H2
6.455889550457464	8	p24_H2
6.542528233682143	9	p24_H2
6.7385035337141606	10	p24_H2
6.626844438787549	11	p24_H2
6.8599659632978005	12	p24_H2
6.991629637148542	13	p24_H2
7.076652454013315	14	p24_H2
7.031559790461921	15	p24_H2
7.103636377327047	16	p24_H2
7.215129778996497	17	p24_H2
7.294959500931162	18	p24_H2
7.302402202081727	19	p24_H2
7.355581870899561	20	p24_H2
7.298578520326004	21	p24_H2
7.264866690228438	22	p24_H2
7.226719663250976	23	p24_H2
7.2843513508216775	24	p24_H2
7.495513257331366	25	p24_H2
7.595288838850235	26	p24_H2
6.904195034777099	27	p24_H2
1.389822859374575	2	p27_D6
1.8793809316659973	3	p27_D6
3.0125606130269764	4	p27_D6
5.332665051451345	5	p27_D6
6.104706212468679	6	p27_D6
6.495751495146637	7	p27_D6
6.470286599197571	8	p27_D6
6.5804582279894	9	p27_D6
6.669643495007286	10	p27_D6
6.652464102749113	11	p27_D6
6.862402295063314	12	p27_D6
7.016348919222641	13	p27_D6
7.080609764887739	14	p27_D6
7.013399910654572	15	p27_D6
7.050461025530646	16	p27_D6
7.243302904979851	17	p27_D6
7.302013871797602	18	p27_D6
7.278692062646277	19	p27_D6
7.3562028741692345	20	p27_D6
7.255137868477329	21	p27_D6
7.260033203285323	22	p27_D6
7.218997517281651	23	p27_D6
7.282676999369671	24	p27_D6
7.504536812775164	25	p27_D6
7.551216154063786	26	p27_D6
6.881767061852856	27	p27_D6
1.3625953453832331	2	p13_F3
1.8778997691286978	3	p13_F3
2.9342896521941495	4	p13_F3
5.258526179043313	5	p13_F3
6.029513093671224	6	p13_F3
6.492513407857022	7	p13_F3
6.493937752612661	8	p13_F3
6.588505064679235	9	p13_F3
6.701849143595705	10	p13_F3
6.645532039635793	11	p13_F3
6.823085311298116	12	p13_F3
7.035174172107652	13	p13_F3
7.056934285377162	14	p13_F3
7.023248240050495	15	p13_F3
7.069473093979024	16	p13_F3
7.237478937931636	17	p13_F3
7.291770963830406	18	p13_F3
7.269632425565336	19	p13_F3
7.342945944756373	20	p13_F3
7.249487579311986	21	p13_F3
7.250843955830442	22	p13_F3
7.221517644671422	23	p13_F3
7.26992505397431	24	p13_F3
7.503798170920316	25	p13_F3
7.55888120768926	26	p13_F3
6.8663342206216145	27	p13_F3
2.856988578601681	2	p23_B2
4.216775139983664	3	p23_B2
5.049384180755803	4	p23_B2
5.482207683537995	5	p23_B2
5.952815615795587	6	p23_B2
6.2079486891686555	7	p23_B2
6.220783362696706	8	p23_B2
6.311405246952015	9	p23_B2
6.56386113226266	10	p23_B2
6.501431427871078	11	p23_B2
6.336064691681592	12	p23_B2
6.803022691248598	13	p23_B2
6.9822321162163705	14	p23_B2
7.029013073692734	15	p23_B2
7.041365691903789	16	p23_B2
7.210501469567891	17	p23_B2
7.2467773819866625	18	p23_B2
7.259099646870508	19	p23_B2
7.17681623887868	20	p23_B2
7.326982690808938	21	p23_B2
7.3733259995790394	22	p23_B2
7.36258014955542	23	p23_B2
7.35969464536374	24	p23_B2
7.505707344460056	25	p23_B2
7.575405603819057	26	p23_B2
6.9174945213406955	27	p23_B2
0.0	2	p5_H11
2.858886055062531	3	p5_H11
4.406948066411878	4	p5_H11
5.490768850733073	5	p5_H11
6.184966093675241	6	p5_H11
6.494375497891379	7	p5_H11
6.57790564378597	8	p5_H11
5.992938321836252	9	p5_H11
6.395997238310149	10	p5_H11
6.604702578540749	11	p5_H11
6.729977548451176	12	p5_H11
6.884545189393828	13	p5_H11
7.073461706176829	14	p5_H11
7.062406998373297	15	p5_H11
7.108847617518768	16	p5_H11
7.081401397926298	17	p5_H11
7.086776799396403	18	p5_H11
6.529885570596889	19	p5_H11
6.938015740060818	20	p5_H11
7.260440379408005	21	p5_H11
7.267554852410872	22	p5_H11
