Isolate	Reference	Total_Allele_Kmers	Matched_Kmers	PropNorm	IsolateType	LengthGroup	OAntigenStatus	Year	Yjitter
p27.F2	HTF_p25.A12	777	405	0.880434782608696	Modern	1383	HTF group without O-antigen	2018	0.795467417687178
p3.A3	HTF_p25.C2	1167	703	1	Modern	1803	HTF group with O-antigen	2018	0.0246136845089495
p3.F12	HTF_p25.C2	1167	1167	1	Modern	1803	HTF group with O-antigen	2018	0.477795971091837
p3.F8	HTF_p26.D6	15	15	1	Modern	1803	HTF group with O-antigen	2018	0.758459537522867
p3.G9	HTF_p25.A12	777	381	0.858108108108108	Modern	1383	HTF group without O-antigen	2018	0.216407935833558
p4.A6	HTF_p25.C2	1167	1093	1	Modern	1803	HTF group with O-antigen	2018	0.318181007634848
p4.D2	HTF_p25.A12	777	328	0.870026525198939	Modern	1383	HTF group without O-antigen	2018	0.231625785352662
p4.E5	HTF_p21.F9	746	360	0.9	Modern	1245	HTF group with O-antigen	2018	0.142800022382289
p4.E6	HTF_p21.F9	746	420	0.855397148676171	Modern	1245	HTF group with O-antigen	2018	0.414546335814521
p5.C1	HTF_p21.F9	746	746	1	Modern	1245	HTF group with O-antigen	2018	0.413724326295778
p5.C3	HTF_p21.F9	746	420	0.864197530864197	Modern	1245	HTF group with O-antigen	2018	0.368845450924709
p5.D5	HTF_p5.D5	993	980	1	Modern	1803	HTF group with O-antigen	2018	0.152444747742265
p5.H11	HTF_p7.G11	1063	1020	1	Modern	1830	HTF group without O-antigen	2018	0.13880606344901
p6.B9	HTF_p26.D6	15	15	1	Modern	1803	HTF group with O-antigen	2018	0.233034099452198
p7.G11	HTF_p7.G11	1063	1059	1	Modern	1830	HTF group without O-antigen	2018	0.465962450252846
p8.B3	HTF_p25.C2	1167	1167	1	Modern	1803	HTF group with O-antigen	2018	0.265972640365362
p8.B9	HTF_p5.D5	993	993	1	Modern	1803	HTF group with O-antigen	2018	0.857827715342864
p8.C7	HTF_p21.F9	746	272	0.96797153024911	Modern	1245	HTF group with O-antigen	2018	0.0458311666734517
p8.E4	HTF_p25.A12	777	776	1	Modern	1383	HTF group without O-antigen	2018	0.442200074205175
p8.H7	HTF_p7.G11	1063	572	0.889580093312597	Modern	1830	HTF group without O-antigen	2018	0.798924845643342
109.NOR_1990	HTF_p5.D5	993	943	1	Historical	1803	HTF group with O-antigen	1990	0.12189925997518
120.RUS_1860	HTF_p5.D5	993	498	0.996	Historical	1803	HTF group with O-antigen	1860	0.560947983758524
27.ESP_1975	HTF_p21.F9	746	61	0.792207792207792	Historical	1245	HTF group with O-antigen	1975	0.20653138961643
33.ESP_1985b	HTF_p23.B8	31	10	1	Historical	1803	HTF group with O-antigen	1985	0.127531650243327
34.ESP_1985c_S36	HTF_p21.F9	746	253	0.996062992125984	Historical	1245	HTF group with O-antigen	1985	0.753307864302769
75.LTU_1894_S30	HTF_p25.A12	777	213	0.968181818181818	Historical	1383	HTF group without O-antigen	1894	0.895045359153301
76.LTU_2009_S19	HTF_p21.F9	746	589	0.998305084745763	Historical	1245	HTF group with O-antigen	2009	0.374462775886059
86.NOR_1911_S7	HTF_p23.B8	31	2	1	Historical	1803	HTF group with O-antigen	1911	0.665115194628015
HB0737	HTF_p23.B8	31	23	1	Historical	1803	HTF group with O-antigen	1937	0.0948406609240919
HB0766	HTF_p21.F9	746	273	0.968085106382979	Historical	1245	HTF group with O-antigen	1846	0.383969637798145
HB0814	HTF_p25.A12	777	209	0.74113475177305	Historical	1383	HTF group without O-antigen	1882	0.27438364457339
HB0840	HTF_p7.G11	1063	176	1	Historical	1830	HTF group without O-antigen	1851	0.814640038879588
HB0841	HTF_p7.G11	1063	97	0.577380952380952	Historical	1830	HTF group without O-antigen	1875	0.448516341391951
PL0001	HTF_p21.F9	746	238	1	Historical	1245	HTF group with O-antigen	1966	0.810064353048801
