Sample	CollapsedReads	R1Reads	CollapsedProp
64.GBR_1933b_S36	3290165	5872156	0
75.LTU_1894_S30	1406560	7625417	0
34.ESP_1985c_S36	2536286	9109787	0
120.RUS_1860	4964695	9927626	0
76.LTU_2009_S19	2205103	10812887	0
30.ESP_1983b	4152361	14010453	0
109.NOR_1990	8694247	13341807	0
33.ESP_1985b	5032038	15822617	0
86.NOR_1911_S7	7342711	11964320	0
27.ESP_1975	8036056	13879918	0
