sample	HTF_haplotype	HTFgroup_Oantigen_PA	wfgD_PA	rmlC1_PA	tagG1_PA	tagH1_PA	spsA_PA	espE2_PA	espE2length	note
p3.A3	HTF_p25.C2 (1803)	OBC_present	1	1	1	1	1	1	4827	
p3.F12	HTF_p25.C2 (1803)	OBC_present	1	1	1	1	1	1	4827	
p4.A6	HTF_p25.C2 (1803)	OBC_present	1	1	1	1	1	1	4827	
p6.A10	HTF_p25.C2 (1803)	OBC_present	1	1	1	1	1	1	4830	
p8.B3	HTF_p25.C2 (1803)	OBC_present	1	1	1	1	1	1	4827	
p22.D4	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4827	
p26.D6	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4827	
p3.F8	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4827	
p6.B9	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4827	
p13.C7	HTF_p5.D5 (1803)	OBC_present	1	1	1	1	1	1	4665	
p21.F1	HTF_p5.D5 (1803)	OBC_present	1	1	1	1	1	1	4665	
p5.D5	HTF_p5.D5 (1803)	OBC_present	1	1	1	1	1	1	4665	
p8.B9	HTF_p5.D5 (1803)	OBC_present	1	1	1	1	1	1	4665	
p13.F3	HTF_p7.G11 (1830)	OBC_absent	0	0	0	0	0	0	0	
p23.A3	HTF_p7.G11 (1830)	OBC_absent	0	0	0	0	0	0	0	
p23.B2	HTF_p7.G11 (1830)	OBC_absent	1	0	0	0	0	0	0	
p24.H2	HTF_p7.G11 (1830)	OBC_absent	0	0	0	0	0	0	0	
p5.H11	HTF_p7.G11 (1830)	OBC_absent	0	0	0	0	0	0	0	
p7.G11	HTF_p7.G11 (1830)	OBC_absent	0	0	0	0	0	0	0	
p8.H7	HTF_p7.G11 (1830)	OBC_absent	0	0	0	0	0	0	0	
