sample	tailocin_cov_prop	tailocin_depth	HTF_haplotype_bykmer	HTF_haplotype_bylocalassembly	HTFgroup_Oantigen_PA	wfgD_PA	rmlC1_PA	tagG1_PA	tagH1_PA	spsA_PA	espE2_PA	espE2length
p27.D6	0.8839	62.89	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	1	1	1	1	1	1	4665
p27.F2	0.9471	31.21	HTF_p25.A12 (1383)	HTF_p25.A12 (1383)	OBC_absent	0	0	0	0	0	0	0
p3.A3	1	15.15	HTF_p25.C2 (1803)	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4827
p3.F12	1	77.94	HTF_p25.C2 (1803)	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4827
p3.F8	0.9725	16.03	HTF_p26.D6 (1803)	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4827
p3.G9	0.9641	43.63	HTF_p25.A12 (1383)	HTF_p25.A12 (1383)	OBC_absent	0	0	0	0	0	0	0
p4.A6	1	13.1	HTF_p25.C2 (1803)	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4827
p4.D2	0.9521	44.26	HTF_p25.A12 (1383)	HTF_p25.A12 (1383)	OBC_absent	0	0	0	0	0	0	0
p4.E5	0.8841	8.67	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	1	1	1	1	1	1	4665
p4.E6	0.8915	25.55	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	1	1	1	1	1	1	4665
p5.C1	0.9244	92.57	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	1	1	1	1	1	1	4740
p5.C3	0.8853	59.17	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	1	1	1	1	1	1	4665
p5.D5	0.9405	58.11	HTF_p5.D5 (1803)	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4665
p5.H11	0.81	22.22	HTF_p7.G11 (1830)	HTF_p7.G11 (1830)	OBC_absent	0	0	0	0	0	0	0
p6.B9	0.9682	51.62	HTF_p26.D6 (1803)	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4827
p7.G11	0.8663	60.23	HTF_p7.G11 (1830)	HTF_p7.G11 (1830)	OBC_absent	0	0	0	0	0	0	0
p8.B3	1	99.23	HTF_p25.C2 (1803)	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4827
p8.B9	0.9546	59.38	HTF_p5.D5 (1803)	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4665
