sample	top_HTFhaplotype
109.NOR_1990	p5.D5
120.RUS_1860	p5.D5
33.ESP_1985b	p26.D6
34.ESP_1985c_S36	p21.F9
64.GBR_1933b_S36	p21.F9
75.LTU_1894_S30	p25.A12
76.LTU_2009_S19	p21.F9
HB0737	p26.D6
HB0766	p21.F9
HB0814	p25.A12
PL0042	p25.A12
PL0046	p21.F9
PL0051	p25.A12
PL0053	p7.G11
PL0059	p21.F9
PL0068	p26.D6
PL0080	p25.A12
PL0102	p25.A12
PL0127	p7.G11
PL0131	p5.D5
PL0137	p26.D6
PL0210	p7.G11
PL0220	p25.A12
PL0224	p21.F9
PL0235	p21.F9
PL0240	p21.F9
